idx,chain,chip,bit,blob_n,cx_pct,cy_pct,area
244,1,3,4,0,90.42,71.26,2216
245,1,3,5,0,90.44,71.32,2188
246,1,3,6,0,90.48,71.35,2188
247,1,3,7,0,85.69,71.38,1036
247,1,3,7,1,95.77,71.11,940
255,1,3,15,0,92.2,82.42,84
255,1,3,15,1,83.62,80.5,76
255,1,3,15,2,89.15,82.23,56
255,1,3,15,3,91.88,86.49,52
255,1,3,15,4,89.11,86.81,48
255,1,3,15,5,82.95,83.62,44
255,1,3,15,6,93.68,79.63,36
255,1,3,15,7,85.23,79.25,32
255,1,3,15,8,89.38,78.66,28
255,1,3,15,9,97.95,79.58,28
255,1,3,15,10,96.56,80.77,24
255,1,3,15,11,87.19,82.69,24
255,1,3,15,12,95.94,83.97,24
255,1,3,15,13,87.19,87.18,24
255,1,3,15,14,86.56,77.88,16
255,1,3,15,15,91.72,78.04,16
255,1,3,15,16,97.66,83.49,16
255,1,3,15,17,82.81,87.82,16
256,1,4,0,0,82.92,77.67,24
256,1,4,0,1,95.62,83.01,24
256,1,4,0,2,92.5,77.31,20
256,1,4,0,3,82.75,83.85,20
256,1,4,0,4,97.03,78.69,16
257,1,4,1,0,82.92,77.67,24
257,1,4,1,1,96.04,82.69,24
257,1,4,1,2,94.38,88.46,20
257,1,4,1,3,82.5,83.81,16
257,1,4,1,4,95.47,85.9,16
258,1,4,2,0,98.96,93.66,36
258,1,4,2,1,93.5,98.21,20
258,1,4,2,2,99.22,90.87,16
259,1,4,3,0,87.24,97.9,88
259,1,4,3,1,89.81,92.69,80
259,1,4,3,2,85.31,94.51,56
259,1,4,3,3,98.12,96.84,52
259,1,4,3,4,93.99,98.37,52
259,1,4,3,5,83.98,91.03,44
259,1,4,3,6,94.15,94.64,44
259,1,4,3,7,96.81,90.46,36
259,1,4,3,8,83.21,98.44,28
259,1,4,3,9,99.27,90.49,24
259,1,4,3,10,87.08,91.56,24
259,1,4,3,11,97.19,93.48,24
259,1,4,3,12,85.94,89.42,16
259,1,4,3,13,98.75,94.55,16
259,1,4,3,14,90.0,99.2,16
384,2,0,0,0,0.0,55.77,28
386,2,0,2,0,88.33,10.02,2212
386,2,0,2,1,0.52,49.79,24
386,2,0,2,2,0.0,55.77,20
387,2,0,3,0,88.37,9.98,2248
387,2,0,3,1,0.08,55.61,32
388,2,0,4,0,86.65,5.31,272
388,2,0,4,1,87.76,14.34,212
389,2,0,5,0,87.93,5.55,316
389,2,0,5,1,80.17,13.11,132
389,2,0,5,2,90.74,14.69,44
389,2,0,5,3,0.19,54.36,40
389,2,0,5,4,97.81,15.38,16
390,2,0,6,0,85.82,5.54,340
390,2,0,6,1,84.69,14.1,48
390,2,0,6,2,0.08,54.97,32
390,2,0,6,3,78.23,13.46,24
390,2,0,6,4,91.25,14.74,20
390,2,0,6,5,97.81,15.38,16
391,2,0,7,0,84.45,5.39,260
391,2,0,7,1,84.06,14.1,40
391,2,0,7,2,90.21,14.67,36
391,2,0,7,3,97.5,6.41,28
391,2,0,7,4,78.23,13.46,24
391,2,0,7,5,98.44,15.38,16
392,2,0,8,0,88.31,10.01,2192
393,2,0,9,0,92.51,10.32,796
393,2,0,9,1,81.41,9.62,564
396,2,0,12,0,0.17,54.37,44
397,2,0,13,0,0.0,56.73,16
398,2,0,14,0,88.7,27.75,1932
398,2,0,14,1,0.31,52.88,16
398,2,0,14,2,0.0,55.45,16
399,2,0,15,0,87.54,23.14,316
399,2,0,15,1,88.49,33.3,164
400,2,1,0,0,89.13,28.22,2372
400,2,1,0,1,0.18,53.75,28
401,2,1,1,0,89.1,28.25,2380
402,2,1,2,0,89.12,28.25,2356
402,2,1,2,1,0.21,53.74,24
402,2,1,2,2,0.21,56.73,24
402,2,1,2,3,0.38,49.49,20
403,2,1,3,0,89.12,28.24,2364
403,2,1,3,1,0.16,56.57,16
404,2,1,4,0,89.13,28.23,2360
404,2,1,4,1,0.0,54.17,16
405,2,1,5,0,89.4,28.22,1920
405,2,1,5,1,0.16,53.69,16
